"id"	"brand"	"title"	"price"	"score"	"voteCnt"	"url"	"pid"	"brand_id"
"97"	"锤子科技"	"锤子科技坚果R1（6GB RAM/全网通） "	"3499"	"5.1"	"64"	"http://detail.zol.com.cn/cell_phone/index1162957.shtml"	"1162957"	
"98"	"锤子科技"	"锤子科技坚果Pro 2（4GB RAM/全网通） "	"1399"	"7.4"	"85"	"http://detail.zol.com.cn/cell_phone/index1202624.shtml"	"1202624"	
"99"	"锤子科技"	"锤子科技坚果3（全网通） "	"1099"	"5.5"	"42"	"http://detail.zol.com.cn/cell_phone/index1209757.shtml"	"1209757"	
"100"	"锤子科技"	"锤子科技坚果Pro 2S（6GB RAM/全网通） "	"1998"	"6.3"	"22"	"http://detail.zol.com.cn/cell_phone/index1228692.shtml"	"1228692"	
"101"	"锤子科技"	"锤子科技坚果Pro（64GB ROM/全网通） "	"1179"	"7.3"	"188"	"http://detail.zol.com.cn/cell_phone/index1166591.shtml"	"1166591"	
"102"	"锤子科技"	"锤子科技坚果R1（8GB RAM/全网通） "	"4499"	"5.1"	"64"	"http://detail.zol.com.cn/cell_phone/index1214020.shtml"	"1214020"	
"103"	"锤子科技"	"锤子科技坚果Pro 2特别版（全网通） "	"1449"	"7.4"	"85"	"http://detail.zol.com.cn/cell_phone/index1213907.shtml"	"1213907"	
"104"	"锤子科技"	"锤子科技坚果Pro（128GB ROM/全网通） "	"1499"	"7.3"	"188"	"http://detail.zol.com.cn/cell_phone/index1170719.shtml"	"1170719"	
"105"	"锤子科技"	"锤子科技坚果Pro 2（6GB RAM/全网通） "	"1949"	"7.4"	"85"	"http://detail.zol.com.cn/cell_phone/index1202737.shtml"	"1202737"	
"106"	"锤子科技"	"锤子科技M1（全网通） "	"1800"	"8"	"148"	"http://detail.zol.com.cn/cell_phone/index1138532.shtml"	"1138532"	
"107"	"锤子科技"	"锤子科技M1L（高配版/全网通） "	"2399"	"8"	"148"	"http://detail.zol.com.cn/cell_phone/index1157726.shtml"	"1157726"	
"108"	"锤子科技"	"锤子科技坚果Pro（32GB ROM/全网通） "	"1099"	"7.3"	"188"	"http://detail.zol.com.cn/cell_phone/index1170718.shtml"	"1170718"	
